"id","account_id","user_id","normalized_title","title","amount","currency","created_at","updated_at","deleted_at","slug"
"1","6","2","такси","Такси","14","GEL","2024-11-27 11:50:28","2024-11-27 11:50:28",NULL,"1"
"2","6","2","сосиски","Сосиски","12","GEL","2024-11-30 18:44:30","2024-11-30 18:44:30",NULL,"2"
"3","6","2","авокадо","Авокадо","9","GEL","2024-11-30 18:44:45","2024-11-30 18:44:45",NULL,"3"
"4","6","2","барни","Барни","4","GEL","2024-11-30 18:45:03","2024-11-30 18:45:03",NULL,"4"
"5","6","2","чай","Чай","11","GEL","2024-11-30 18:45:23","2024-11-30 18:45:23",NULL,"5"
"6","6","2","вода","Вода","1","GEL","2024-11-30 18:45:43","2024-11-30 18:45:43",NULL,"6"
"7","6","2","рис","Рис","3","GEL","2024-11-30 18:46:01","2024-11-30 18:46:01",NULL,"7"
"8","6","2","овощи (лук, морковь, чеснок)","Овощи (лук, морковь, чеснок)","4","GEL","2024-11-30 18:46:51","2024-11-30 18:46:51",NULL,"8"
"9","6","2","фрукты (гранат и банан)","Фрукты (гранат и банан)","5","GEL","2024-11-30 18:47:21","2024-11-30 18:47:21",NULL,"9"
"10","6","2","печенье","Печенье","2","GEL","2024-11-30 18:47:42","2024-11-30 18:47:42",NULL,"10"
"11","6","2","шоколадная паста","Шоколадная паста","6","GEL","2024-11-30 18:48:05","2024-11-30 18:48:05",NULL,"11"
"12","6","2","макароны","Макароны","4","GEL","2024-11-30 18:48:15","2024-11-30 18:48:15",NULL,"12"
"13","6","2","мука","Мука","4","GEL","2024-11-30 18:48:24","2024-11-30 18:48:24",NULL,"13"
"14","6","2","гречка","Гречка","2","GEL","2024-11-30 18:48:48","2024-11-30 18:48:48",NULL,"14"
"15","6","2","конфета и сок","Конфета и сок","2","GEL","2024-11-30 18:48:59","2024-11-30 18:48:59",NULL,"15"
"16","6","2","тампоны","Тампоны","12","GEL","2024-11-30 18:49:29","2024-11-30 18:49:29",NULL,"16"
"17","6","2","ежедневные прокладки","Ежедневные прокладки","5","GEL","2024-11-30 18:52:33","2024-11-30 18:52:33",NULL,"17"
"18","10","2","электроодеяло","Электроодеяло","20","GEL","2024-11-30 18:52:52","2024-11-30 18:52:52",NULL,"18"
"19","6","2","маршрутка и такси","Маршрутка и такси","4","GEL","2024-11-30 18:53:19","2024-11-30 18:53:19",NULL,"19"
"20","6","2","картошка фри","Картошка фри","4","GEL","2024-11-30 18:53:52","2024-11-30 18:53:52",NULL,"20"
"21","6","2","детская комната","Детская комната","5","GEL","2024-11-30 18:54:14","2024-11-30 18:54:14",NULL,"21"
"22","1","1","оплата ипотеки","Оплата ипотеки","3600","RUB","2024-12-02 12:46:16","2024-12-02 12:46:16",NULL,"22"
"23","1","1","перевод валюты","Перевод валюты","50863","RUB","2024-12-02 12:49:37","2024-12-02 12:49:37",NULL,"23"
"24","1","1","оплата банковских услуг","Оплата банковских услуг","198","RUB","2024-12-02 12:51:49","2024-12-02 12:51:49",NULL,"24"
"25","1","1","тещё на подарок","тещё на подарок","7352.6","RUB","2024-12-02 12:52:29","2024-12-02 12:52:29",NULL,"25"
"26","2","1","тещё на подарок","тещё на подарок","2647.4","RUB","2024-12-02 12:56:30","2024-12-02 12:56:30",NULL,"26"
"27","7","1","аренда батуми","Аренда батуми","200","USD","2024-12-02 12:57:51","2024-12-02 12:57:51",NULL,"27"
